Date,Open,High,Low,Close,Volume,Symbol,Asset_Type,Data_Source,Download_Date,Adj_Close,Source,Transform_Date,Data_Start_Date,Data_End_Date,Record_Count,Data_Quality_Score,YFinance_Version,Exchange,Trading_Pair
2025-05-30,414.14,417.86,411.53,415.09,4230000,ADBE,stock,iwb_holdings_250529,2025-06-01,415.09,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-29,414.0,415.42,410.47,413.36,1780400,ADBE,stock,iwb_holdings_250529,2025-06-01,413.36,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-28,413.81,416.37,411.42,412.23,2246500,ADBE,stock,iwb_holdings_250529,2025-06-01,412.23,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-27,412.76,414.95,411.6,413.1,2680400,ADBE,stock,iwb_holdings_250529,2025-06-01,413.1,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-23,409.11,411.45,407.15,407.69,2087700,ADBE,stock,iwb_holdings_250529,2025-06-01,407.69,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-22,412.51,417.9,412.51,414.33,1889500,ADBE,stock,iwb_holdings_250529,2025-06-01,414.33,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-21,414.86,422.95,412.59,414.03,2495800,ADBE,stock,iwb_holdings_250529,2025-06-01,414.03,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-20,417.87,419.13,414.29,417.61,2453000,ADBE,stock,iwb_holdings_250529,2025-06-01,417.61,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-19,413.53,421.27,413.2,420.68,3008000,ADBE,stock,iwb_holdings_250529,2025-06-01,420.68,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-16,414.62,421.77,412.06,417.13,5391500,ADBE,stock,iwb_holdings_250529,2025-06-01,417.13,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-15,399.35,404.85,399.35,404.69,2763800,ADBE,stock,iwb_holdings_250529,2025-06-01,404.69,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-14,396.85,400.12,396.42,399.47,2409200,ADBE,stock,iwb_holdings_250529,2025-06-01,399.47,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-13,395.9,399.67,394.71,397.4,2664100,ADBE,stock,iwb_holdings_250529,2025-06-01,397.4,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-12,394.33,397.82,392.76,395.94,3157700,ADBE,stock,iwb_holdings_250529,2025-06-01,395.94,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-09,386.18,388.77,382.33,383.28,2031300,ADBE,stock,iwb_holdings_250529,2025-06-01,383.28,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-08,388.3,388.73,383.4,383.99,3383900,ADBE,stock,iwb_holdings_250529,2025-06-01,383.99,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
