Date,Open,High,Low,Close,Volume,Symbol,Asset_Type,Data_Source,Download_Date,Adj_Close,Source,Transform_Date,Data_Start_Date,Data_End_Date,Record_Count,Data_Quality_Score,YFinance_Version,Exchange,Trading_Pair
2025-03-27,86907.25,87771.42,85826.0,87223.2,51878159.88309372,BTC,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,BTCUSD
2025-03-26,87463.22,88289.98,85851.45,86907.25,45569278.58857508,BTC,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,BTCUSD
2025-03-25,87523.72,88580.34,86320.59,87463.22,43487088.77409789,BTC,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,BTCUSD
2025-03-24,86085.19,88806.34,85551.29,87523.72,51681119.77563429,BTC,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,BTCUSD
2025-03-23,83833.52,86117.92,83800.77,86085.19,12294349.408541609,BTC,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,BTCUSD
2025-03-22,84037.67,84472.24,83657.58,83833.52,6741898.2752596885,BTC,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,BTCUSD
2025-03-21,84188.08,84807.02,83117.67,84037.67,29002277.427425243,BTC,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,BTCUSD
2025-03-20,86887.05,87486.72,83583.57,84188.08,53682281.999596246,BTC,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,BTCUSD
2025-03-19,82682.71,87035.39,82524.42,86887.05,70520820.49668817,BTC,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,BTCUSD
2025-03-18,83998.03,84021.7,81118.74,82682.71,49645091.29571929,BTC,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,BTCUSD
2025-03-17,82571.6,84749.03,82431.58,83998.03,46834475.04300936,BTC,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,BTCUSD
2025-03-16,84327.77,85108.0,81968.04,82571.6,19331623.641678303,BTC,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,BTCUSD
2025-03-15,83966.64,84678.99,83639.43,84327.77,11579092.33308646,BTC,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,BTCUSD
2025-03-14,81054.05,85318.0,80797.51,83966.64,70746965.0503479,BTC,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,BTCUSD
