Date,Open,High,Low,Close,Volume,Symbol,Asset_Type,Data_Source,Download_Date,Adj_Close,Source,Transform_Date,Data_Start_Date,Data_End_Date,Record_Count,Data_Quality_Score,YFinance_Version,Exchange,Trading_Pair
2025-05-30,268.08,269.74,260.7,265.37,12382300,CRM,stock,iwb_holdings_250529,2025-06-01,265.37,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-29,263.59,267.79,254.5,266.92,28075000,CRM,stock,iwb_holdings_250529,2025-06-01,266.92,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-28,277.71,278.81,273.58,276.03,12758600,CRM,stock,iwb_holdings_250529,2025-06-01,276.03,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-27,273.17,278.58,270.29,277.19,10958000,CRM,stock,iwb_holdings_250529,2025-06-01,277.19,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-23,279.0,280.74,271.65,273.13,8887800,CRM,stock,iwb_holdings_250529,2025-06-01,273.13,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-22,282.5,286.35,281.03,283.42,6642700,CRM,stock,iwb_holdings_250529,2025-06-01,283.42,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-21,284.41,287.63,281.11,282.28,5689800,CRM,stock,iwb_holdings_250529,2025-06-01,282.28,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-20,288.09,288.44,285.21,288.06,4032300,CRM,stock,iwb_holdings_250529,2025-06-01,288.06,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-19,288.1,289.9,286.91,287.63,5781200,CRM,stock,iwb_holdings_250529,2025-06-01,287.63,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-16,291.09,292.17,289.72,291.15,3846000,CRM,stock,iwb_holdings_250529,2025-06-01,291.15,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-15,289.57,291.97,287.95,290.76,4635600,CRM,stock,iwb_holdings_250529,2025-06-01,290.76,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-14,293.5,296.05,289.26,290.74,7926200,CRM,stock,iwb_holdings_250529,2025-06-01,290.74,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-13,291.0,292.74,288.93,289.17,6711600,CRM,stock,iwb_holdings_250529,2025-06-01,289.17,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-12,285.0,288.97,283.23,288.82,5937400,CRM,stock,iwb_holdings_250529,2025-06-01,288.82,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-09,281.62,282.48,273.88,275.42,4324200,CRM,stock,iwb_holdings_250529,2025-06-01,275.42,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-08,279.21,283.05,278.38,279.74,4789900,CRM,stock,iwb_holdings_250529,2025-06-01,279.74,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
2025-05-07,273.71,278.79,273.71,278.23,4267600,CRM,stock,iwb_holdings_250529,2025-06-01,278.23,iwb_holdings_250529,2025-06-02,2004-06-23,2025-05-30,5269,100.0,0.2.61,,
