Date,Open,High,Low,Close,Volume,Symbol,Asset_Type,Data_Source,Download_Date,Adj_Close,Source,Transform_Date,Data_Start_Date,Data_End_Date,Record_Count,Data_Quality_Score,YFinance_Version,Exchange,Trading_Pair
2025-03-27,2009.21,2037.36,1986.79,2001.79,12665128.554043,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-26,2067.01,2078.85,1981.96,2009.21,10644420.81470054,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-25,2081.38,2097.34,2037.93,2067.01,12271875.80768512,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-24,2005.14,2103.0,1977.95,2081.38,17717491.67943118,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-23,1979.95,2020.0,1976.92,2005.14,5074863.98539626,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-22,1964.49,2005.38,1964.28,1979.95,2436086.6993456,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-21,1983.01,1994.75,1937.18,1964.49,7794173.63244333,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-20,2057.41,2067.81,1951.34,1983.01,11671835.94072151,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-19,1931.38,2070.0,1928.03,2057.41,20149676.771770217,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-18,1926.51,1935.36,1872.25,1931.38,10234646.9196961,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-17,1887.12,1951.95,1880.0,1926.51,13896347.90816115,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-16,1937.47,1940.79,1861.52,1887.12,9344506.188859198,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-15,1911.17,1956.55,1904.36,1937.47,5456275.10668212,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-14,1864.05,1945.5,1860.76,1911.17,17962717.01669383,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-13,1907.24,1920.0,1821.8,1864.05,24062273.0115564,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2025-03-12,1922.48,1955.71,1829.66,1907.24,31629378.96138432,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
