Date,Open,High,Low,Close,Volume,Symbol,Asset_Type,Data_Source,Download_Date,Adj_Close,Source,Transform_Date,Data_Start_Date,Data_End_Date,Record_Count,Data_Quality_Score,YFinance_Version,Exchange,Trading_Pair
2025-05-30,153.9,155.71,153.22,155.21,15529100,JNJ,stock,iwb_holdings_250529,2025-06-01,155.21,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-29,151.75,154.04,151.56,153.58,6810600,JNJ,stock,iwb_holdings_250529,2025-06-01,153.58,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-28,153.28,153.64,151.93,152.43,8459300,JNJ,stock,iwb_holdings_250529,2025-06-01,152.43,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-27,152.52,154.04,151.93,153.25,6990700,JNJ,stock,iwb_holdings_250529,2025-06-01,153.25,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-23,153.0,153.48,152.21,152.94,6727300,JNJ,stock,iwb_holdings_250529,2025-06-01,151.64,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-22,152.65,153.32,151.37,152.61,7535300,JNJ,stock,iwb_holdings_250529,2025-06-01,151.3128,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-21,153.19,154.43,153.0,153.18,7032200,JNJ,stock,iwb_holdings_250529,2025-06-01,151.878,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-20,152.33,154.04,152.12,153.66,7351500,JNJ,stock,iwb_holdings_250529,2025-06-01,152.3539,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-19,151.89,152.66,151.05,152.49,12639900,JNJ,stock,iwb_holdings_250529,2025-06-01,151.1938,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-16,149.67,151.5,149.22,151.33,8051200,JNJ,stock,iwb_holdings_250529,2025-06-01,150.0437,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-15,148.0,149.65,147.33,149.61,7945800,JNJ,stock,iwb_holdings_250529,2025-06-01,148.3383,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-14,148.67,148.82,146.12,146.36,10216000,JNJ,stock,iwb_holdings_250529,2025-06-01,145.1159,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-13,151.7,151.7,148.08,148.44,10549600,JNJ,stock,iwb_holdings_250529,2025-06-01,147.1783,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-12,152.02,155.36,151.18,154.14,9023800,JNJ,stock,iwb_holdings_250529,2025-06-01,152.8298,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-09,155.42,156.06,153.81,154.22,6520400,JNJ,stock,iwb_holdings_250529,2025-06-01,152.9091,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-08,155.82,157.03,154.78,155.66,7606100,JNJ,stock,iwb_holdings_250529,2025-06-01,154.3369,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-07,154.74,157.94,154.5,157.3,7853100,JNJ,stock,iwb_holdings_250529,2025-06-01,155.963,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-06,154.82,155.9,153.69,154.47,8644200,JNJ,stock,iwb_holdings_250529,2025-06-01,153.157,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-05,156.67,156.79,154.73,155.0,5464100,JNJ,stock,iwb_holdings_250529,2025-06-01,153.6825,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-02,156.07,156.72,155.04,156.12,5974500,JNJ,stock,iwb_holdings_250529,2025-06-01,154.793,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-05-01,155.0,155.09,153.36,154.46,7325800,JNJ,stock,iwb_holdings_250529,2025-06-01,153.1471,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-30,158.2,158.2,155.02,156.31,9598200,JNJ,stock,iwb_holdings_250529,2025-06-01,154.9814,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-29,155.45,157.02,154.29,155.91,5246700,JNJ,stock,iwb_holdings_250529,2025-06-01,154.5848,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-28,155.5,155.81,153.82,155.35,5815200,JNJ,stock,iwb_holdings_250529,2025-06-01,154.0295,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-25,154.32,154.9,152.45,154.58,8643600,JNJ,stock,iwb_holdings_250529,2025-06-01,153.2661,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-24,155.8,155.9,153.44,154.93,8310400,JNJ,stock,iwb_holdings_250529,2025-06-01,153.6131,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-23,156.49,157.1,154.33,155.38,9099400,JNJ,stock,iwb_holdings_250529,2025-06-01,154.0593,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-22,157.55,158.72,156.26,157.75,7136300,JNJ,stock,iwb_holdings_250529,2025-06-01,156.4091,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-21,157.96,158.23,155.49,156.92,6285400,JNJ,stock,iwb_holdings_250529,2025-06-01,155.5862,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-17,154.16,159.44,154.16,157.47,10972400,JNJ,stock,iwb_holdings_250529,2025-06-01,156.1315,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-16,155.37,155.63,152.24,153.91,7986900,JNJ,stock,iwb_holdings_250529,2025-06-01,152.6018,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-15,155.7,156.3,152.1,153.62,10847700,JNJ,stock,iwb_holdings_250529,2025-06-01,152.3142,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-14,151.59,154.67,151.17,154.36,10685300,JNJ,stock,iwb_holdings_250529,2025-06-01,153.0479,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-11,149.33,152.35,148.19,151.73,9943900,JNJ,stock,iwb_holdings_250529,2025-06-01,150.4403,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-10,150.37,151.2,145.13,148.69,13830500,JNJ,stock,iwb_holdings_250529,2025-06-01,147.4261,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-09,142.2,153.19,141.5,150.97,18773700,JNJ,stock,iwb_holdings_250529,2025-06-01,149.6868,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-08,153.59,153.59,148.0,150.0,12018400,JNJ,stock,iwb_holdings_250529,2025-06-01,148.725,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-07,151.28,152.71,147.4,150.62,18083000,JNJ,stock,iwb_holdings_250529,2025-06-01,149.3397,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-04,159.16,159.82,152.93,153.24,16601700,JNJ,stock,iwb_holdings_250529,2025-06-01,151.9375,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-03,158.75,160.65,157.48,159.82,13249300,JNJ,stock,iwb_holdings_250529,2025-06-01,158.4615,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-02,154.01,155.79,153.45,155.36,10356900,JNJ,stock,iwb_holdings_250529,2025-06-01,154.0394,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-04-01,160.73,161.81,153.13,153.25,23303100,JNJ,stock,iwb_holdings_250529,2025-06-01,151.9474,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-31,164.37,166.63,164.23,165.84,12481400,JNJ,stock,iwb_holdings_250529,2025-06-01,164.4303,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-28,163.59,164.52,162.91,163.71,5760300,JNJ,stock,iwb_holdings_250529,2025-06-01,162.3185,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-27,162.35,164.07,161.32,163.13,6752500,JNJ,stock,iwb_holdings_250529,2025-06-01,161.7434,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-26,161.21,162.49,160.64,161.72,7223500,JNJ,stock,iwb_holdings_250529,2025-06-01,160.3454,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-25,163.52,164.19,160.56,161.02,7456200,JNJ,stock,iwb_holdings_250529,2025-06-01,159.6513,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-24,162.84,164.39,162.5,163.29,8046400,JNJ,stock,iwb_holdings_250529,2025-06-01,161.902,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-21,163.0,164.13,162.48,163.63,17047100,JNJ,stock,iwb_holdings_250529,2025-06-01,162.2391,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-20,163.0,163.2,161.93,163.02,7485900,JNJ,stock,iwb_holdings_250529,2025-06-01,161.6343,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-19,163.97,164.36,162.21,162.99,5936400,JNJ,stock,iwb_holdings_250529,2025-06-01,161.6046,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-18,163.44,164.86,162.97,164.25,7348800,JNJ,stock,iwb_holdings_250529,2025-06-01,162.8539,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-17,162.41,163.5,161.73,162.84,6669800,JNJ,stock,iwb_holdings_250529,2025-06-01,161.4559,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-14,162.12,163.15,161.1,162.81,6235800,JNJ,stock,iwb_holdings_250529,2025-06-01,161.4261,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-13,163.43,164.54,162.66,162.99,5286700,JNJ,stock,iwb_holdings_250529,2025-06-01,161.6046,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-12,163.73,164.21,162.23,162.85,8010700,JNJ,stock,iwb_holdings_250529,2025-06-01,161.4658,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-11,167.2,167.3,165.05,165.86,9890300,JNJ,stock,iwb_holdings_250529,2025-06-01,164.4502,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-10,167.48,169.9,167.05,167.7,17559000,JNJ,stock,iwb_holdings_250529,2025-06-01,166.2745,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-07,165.13,168.46,164.7,166.69,9637600,JNJ,stock,iwb_holdings_250529,2025-06-01,165.2731,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-06,165.0,165.87,163.51,165.83,8037900,JNJ,stock,iwb_holdings_250529,2025-06-01,164.4204,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-05,164.51,166.46,163.53,165.12,8744800,JNJ,stock,iwb_holdings_250529,2025-06-01,163.7165,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-04,168.08,169.99,165.32,165.42,11999700,JNJ,stock,iwb_holdings_250529,2025-06-01,164.0139,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-03-03,164.96,167.33,164.84,167.28,9191500,JNJ,stock,iwb_holdings_250529,2025-06-01,165.8581,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-02-28,164.31,165.94,162.7,165.02,12037200,JNJ,stock,iwb_holdings_250529,2025-06-01,163.6173,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-02-27,162.31,163.95,161.73,163.73,8364600,JNJ,stock,iwb_holdings_250529,2025-06-01,162.3383,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-02-26,165.08,165.13,162.56,163.08,11396400,JNJ,stock,iwb_holdings_250529,2025-06-01,161.6938,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-02-25,164.1,166.43,163.94,166.09,12303700,JNJ,stock,iwb_holdings_250529,2025-06-01,164.6782,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-02-24,162.68,164.87,162.05,163.74,10201900,JNJ,stock,iwb_holdings_250529,2025-06-01,162.3482,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-02-21,159.88,163.51,159.28,162.3,12546900,JNJ,stock,iwb_holdings_250529,2025-06-01,160.9204,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-02-20,156.95,159.95,156.95,159.68,7224000,JNJ,stock,iwb_holdings_250529,2025-06-01,158.3227,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-02-19,155.0,158.3,154.75,157.89,7974700,JNJ,stock,iwb_holdings_250529,2025-06-01,156.5479,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
2025-02-18,154.14,155.45,153.24,154.99,9670700,JNJ,stock,iwb_holdings_250529,2025-06-01,153.6726,iwb_holdings_250529,2025-06-02,2000-01-03,2025-05-30,6391,100.0,0.2.61,,
